ID,n_backbone_matches,SMILES
1216,9,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC1=O
1277,8,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CC[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCCNC1=O)C(N)=O
1278,8,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CCCCNC1=O)C(N)=O
1279,8,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](C(C)C)NC(=O)[C@H](N)CCCCNC1=O)C(N)=O
1280,8,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](CC(C)C)C(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1281,8,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1282,8,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1283,8,CC(C)C[C@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC1=O
1284,8,CC(C)C[C@@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(=O)O)NC1=O
1285,8,CC(C)C[C@H]1NC(=O)[C@@H](N)CCCCNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C([C@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(=O)O)NC1=O
