,row_index,n_backbone_matches,canon_smiles
146,26438,8,[H]/N=C(\N)NCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN/C(N)=N/[H])NC(=O)[C@@H](N)CCCN/C(N)=N/[H])C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCN/C(N)=N/[H])C(=O)N[C@@H](CCCNC(N)=O)C(=O)N1)C(N)=O
147,26453,14,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCN/C(N)=N/[H])NC(=O)[C@@H]2CSSC[C@H](N)C(=O)N[C@H]3CSSC[C@H](NC1=O)C(=O)N[C@H](C(N)=O)CSSC[C@H](NC(=O)[C@@H](CC(N)=O)NC3=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c3ccccc13)C(=O)N2
148,26933,9,CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccc(O)cc3I)NC(=O)[C@@H]([C@@H](C)O)NC2=O)cc1
149,26995,9,CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)N(C)C(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H]([C@@H](C)O)NC2=O)cc1
150,27056,7,C[C@@H](O)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC1=O
151,27137,14,[H]/N=C(\N)NCCC[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]3CSSC[C@@H](C(N)=O)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CC(N)=O)C(=O)N3)NC(=O)[C@H](CCCN/C(N)=N/[H])NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCN/C(N)=N/[H])NC2=O
152,27604,7,NCCCC[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)CNC1=O
153,27786,11,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)CCCCCCNC(C)=O)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C1=O
154,27819,9,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCCNC(=O)CC[C@H](NC(=O)CCCCCCCCCCCCCCC)C(=O)O)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)CC(C)C)[C@@H](C)O)CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC1=O
155,27839,9,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccc(O)cc2)[C@@H](C)CC)CSSC[C@@H](C(=O)N(C)[C@H](C(N)=O)[C@@H](C)CC)NC1=O
156,27852,8,CC(C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O
